job_id,job,location,work_type,full_time_remote,no_of_application,posted_day_ago,role_category,skills_found
3461002816,Data Scientist,"Bangalore Urban, Karnataka, India",Hybrid,Full-time · Mid-Senior level,200.0,6 days,AI / ML Engineer,"['Python', 'SQL', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3474262732,Data Scientist,India,Remote,Full-time · Entry level,,1 day,AI / ML Engineer,"['Python', 'SQL', 'Statistics']"
3467344403,Data Analyst,"Mumbai, Maharashtra, India",On-site,Full-time · Mid-Senior level,,1 day,Data Analyst,"['Python', 'SQL', 'Tableau', 'Machine Learning']"
3461019795,Senior Data Analyst,"Bengaluru, Karnataka, India",On-site,Full-time · Executive,,6 days,Data Analyst,"['SQL', 'Excel']"
3474692367,Data Scientist,"Bengaluru, Karnataka, India",Hybrid,Full-time · Associate,,1 day,AI / ML Engineer,"['Python', 'SQL', 'Statistics', 'A/B Testing', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark', 'AWS', 'Azure', 'GCP']"
3467396789,Data Scientist,India,Remote,Full-time,,1 day,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Statistics', 'A/B Testing', 'Machine Learning']"
3474496688,Data Scientist,India,Remote,Full-time,,15 hours,AI / ML Engineer,"['Python', 'Excel', 'Statistics', 'Machine Learning', 'LLMs']"
3467211627,AI Engineer _Mlops _2-10 years,"Bangalore Urban, Karnataka, India",On-site,Full-time · Mid-Senior level,,6 days,AI / ML Engineer,"['Python', 'SQL', 'A/B Testing', 'Machine Learning', 'Spark', 'Docker', 'AWS', 'Azure', 'GCP']"
3464947155,Senior Machine Learning Engineer,"Bengaluru, Karnataka, India",Hybrid,Full-time · Mid-Senior level,,3 days,AI / ML Engineer,"['Python', 'Statistics', 'Pandas', 'NumPy', 'Scikit-learn', 'Machine Learning', 'LLMs', 'Docker']"
3464953423,Data Analyst (Automation Opportunities),India,Remote,Full-time · Mid-Senior level,,2 days,Data Analyst,"['Python', 'SQL', 'Excel']"
3448004067,Manager of Machine Learning,"Bengaluru, Karnataka, India",Hybrid,Full-time · Director,,4 days,AI / ML Engineer,"['Python', 'SQL', 'Statistics', 'A/B Testing', 'Pandas', 'NumPy', 'Scikit-learn', 'Machine Learning', 'Deep Learning', 'LLMs', 'Spark', 'Docker', 'Kubernetes', 'AWS', 'Azure', 'GCP']"
3473575313,Senior Data Analyst  | WFH,"Thiruvananthapuram, Kerala, India",Remote,Full-time · Mid-Senior level,,2 days,Data Analyst,"['Python', 'SQL', 'Excel', 'Power BI', 'Statistics', 'Spark', 'GCP']"
3460394289,Data Scientist,"Bengaluru, Karnataka, India",On-site,Full-time · Mid-Senior level,,6 days,AI / ML Engineer,"['Python', 'SQL', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark', 'AWS', 'Azure', 'GCP']"
3464536171,Cockpit Artificial Intelligence – Application Software Engineer,"Bengaluru, Karnataka, India",On-site,Full-time,,3 days,AI / ML Engineer,"['Machine Learning', 'Deep Learning']"
3470063791,Data Analyst,"Chennai, Tamil Nadu, India",Hybrid,Full-time · Mid-Senior level,,2 days,Data Analyst,"['SQL', 'Tableau', 'Statistics']"
3473747143,Data Analyst,India,Remote,Full-time · Entry level,,2 days,Data Analyst,"['Python', 'SQL', 'Tableau', 'Power BI', 'Statistics', 'LLMs']"
3468429936,Senior Data Scientist,"Chennai, Tamil Nadu, India",On-site,Full-time · Associate,,5 days,AI / ML Engineer,"['Python', 'SQL', 'Statistics']"
3476188459,Lead Data Scientist,"Kolkata metropolitan area, West Bengal, India",On-site,Full-time,,10 hours,AI / ML Engineer,"['Python', 'Tableau', 'Power BI', 'Statistics', 'Machine Learning', 'Deep Learning']"
3474805237,Senior Machine Learning Engineer (NLP),India,Remote,Contract,,1 day,AI / ML Engineer,"['Python', 'Excel', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Docker', 'Kubernetes']"
